major (origin),major2 (disambiguated),ID
电气工程及其自动化(电子信息工程)(中外合作办学专业),电气工程,808
电气工程及其自动化（电气卓越计划实验班）,电气工程,808
电气工程及其自动化（汉）,电气工程,808
电气工程及其自动化(民族班),电气工程,808
电气工程及其自动化（国家专项计划）,电气工程,808
电气工程及其自动化（国家贫困专项）,电气工程,808
电气工程及其自动化（单列）,电气工程,808
电气工程及其自动化（单列类）,电气工程,808
电气工程及其自动化(定向)#B9,电气工程,808
电气工程及其自动化(闽台合作),电气工程,808
电气工程及其自动化（闽台合作）,电气工程,808
电气工程及其自动化（高校专项）,电气工程,808
电气工程及其自动化（普通类）,电气工程,808
电气工程及其自动化(新能源国际班),电气工程,808
电气工程及其自动化（新能源国际班）,电气工程,808
电气工程及其自动化（藏）,电气工程,808
电气与自动化类,电气工程,808
电气类,电气工程,808
电气类（工学Ⅲ）,电气工程,808
电气类(中外合作办学),电气工程,808
电气类（中外合作办学）,电气工程,808
电气类(中外合作办学)(电气工程及其自动化),电气工程,808
电气类(电气与自动化类),电气工程,808
电气类（代表理学工学类）,电气工程,808
电气类(茅以升学院),电气工程,808
电气类(定向),电气工程,808
电气类（按电气与自动化类招生，含自动化、电气工程及其自动化）,电气工程,808
电气类（按电气与自动化类培养）,电气工程,808
电气类（按电气与自动化类培养）（定向）,电气工程,808
电气类（理学工学类）,电气工程,808
电波传播与天线,电气工程,808
电信工程及管理（中外合作办学）,电气工程,808
电磁场与无线技术,电子科学与技术,809
电影制作,艺术学,504
电影制作（延长校区）,艺术学,504
生态学,生物学,710
生态学（中加合作班）,生物学,710
生态学（双语类）,生物学,710
生态学（单列）,生物学,710
生态学(类),生物学,710
生态学（普通类）,生物学,710
生态学类,生物学,710
生物工程,化学工程与技术,817
生物工程(中外合作办学),化学工程与技术,817
生物工程（中外合作办学）,化学工程与技术,817
生物工程（双语类）,化学工程与技术,817
生物工程（卓越计划）,化学工程与技术,817
生物工程（单列）,化学工程与技术,817
生物工程（单列类）,化学工程与技术,817
生物工程（普通类）,化学工程与技术,817
生物工程类,化学工程与技术,817
生物工程类（工学Ⅳ）,化学工程与技术,817
生物工程类(中外合作办学),化学工程与技术,817
生物工程类(含生物工程、生物科学、生物技术专业),化学工程与技术,817
生物工程类（绿色生物制造与生物安全）,化学工程与技术,817
生物技术,化学工程与技术,817
生物技术  (  化妆品  ),化学工程与技术,817
生物技术  (  高精尖项目  ),化学工程与技术,817
生物技术（中外合作办学）,化学工程与技术,817
生物技术(中外合作办学),化学工程与技术,817
生物技术（中加合作办学项目）,化学工程与技术,817
生物技术（化妆品）,化学工程与技术,817
生物技术（公费师范）,化学工程与技术,817
生物技术(生命科学与技术基地班),化学工程与技术,817
生物技术（闽台合作）,化学工程与技术,817
生物技术(闽台合作),化学工程与技术,817
生物技术（基地）,化学工程与技术,817
生物技术（基础学科生物科技实验班）,化学工程与技术,817
生物技术（基础学科生物科学与技术实验班）,化学工程与技术,817
生物技术专业（中外合作办学）,化学工程与技术,817
生物医学工程,化学工程与技术,817
生物医学工程（工医理交叉国际化实验班）,化学工程与技术,817
生物医学工程（工程科学学院）,化学工程与技术,817
生物医学工程（生医卓越计划实验班）,化学工程与技术,817
生物医学工程（民）,化学工程与技术,817
生物医学工程类,化学工程与技术,817
生物医学工程类（生物与药学）,化学工程与技术,817
生物医学工程类(生物医学工程与仪器类),化学工程与技术,817
生物医学工程类（国家专项）,化学工程与技术,817
生物医学工程类（按生物医学工程与仪器类培养）,化学工程与技术,817
生物制药,化学工程与技术,817
生物科学,化学工程与技术,817
生物科学（中美121）,化学工程与技术,817
生物科学（贝时璋菁英班）,化学工程与技术,817
生物科学（公费师范）,化学工程与技术,817
生物科学（双语类）,化学工程与技术,817
生物科学（本硕博班）,化学工程与技术,817
生物科学（生物学基地班）,化学工程与技术,817
生物科学（动物学）,化学工程与技术,817
生物科学(师范),化学工程与技术,817
生物科学（师范）,化学工程与技术,817
生物科学（免费师范）,化学工程与技术,817
生物科学（单列）,化学工程与技术,817
生物科学（单列类）,化学工程与技术,817
生物科学（预科）,化学工程与技术,817
生物科学（理科实验班）,化学工程与技术,817
生物科学（基地）,化学工程与技术,817
生物科学（基地班）,化学工程与技术,817
生物科学(基地班),化学工程与技术,817
生物科学(菁英班),化学工程与技术,817
生物科学（普通类）,化学工程与技术,817
生物科学类,化学工程与技术,817
生物科学类 ,化学工程与技术,817
生物科学类（少）,化学工程与技术,817
生物科学类(中外合作办学),化学工程与技术,817
生物科学类（中外合作办学）,化学工程与技术,817
生物科学类(中外合作办学)(生物技术),化学工程与技术,817
生物科学类(生物技术),化学工程与技术,817
生物科学类(生物科学、生物技术),化学工程与技术,817
生物科学类（生物科学、生物技术）,化学工程与技术,817
生物科学类(生物科学、生物技术) ,化学工程与技术,817
生物科学类(生物科学、生物技术)(含国家理科基地班),化学工程与技术,817
生物科学类(生物科学、生物技术)(南疆单列计划),化学工程与技术,817
生物科学类(生物科学、生物技术、生态学),化学工程与技术,817
生物科学类（生物科学、生物技术、生态学）,化学工程与技术,817
生物科学类（生物科学、生物技术、生态学）（公费师范生）,化学工程与技术,817
生物科学类(含生物科学(基地班)、 生物技术),化学工程与技术,817
生物科学类（含生物科学、生物技术专业）,化学工程与技术,817
生物科学类（含生物科学专业、生物技术、生态学）,化学工程与技术,817
生物科学类（含生物科学专业、生物技术专业、生态学）,化学工程与技术,817
生物信息学,生物学,710
生命科学类,化学工程与技术,817
印度尼西亚语,外国语言文学,502
外交学,政治学,302
外交学（国际组织与全球治理）,政治学,302
外交学（法语与法语国家研究）,政治学,302
外国语言文学类,外国语言文学,502
外国语言文学类(双外语),外国语言文学,502
外国语言文学类(含英语、俄语、德语、法语、日语、意大利语),外国语言文学,502
外国语言文学类(含英语、德语、日语专业),外国语言文学,502
外国语言文学类（按语言类招生，含英语(与国贸复合)、英语）,外国语言文学,502
外国语言文学类（按语言类培养）,外国语言文学,502
外国语言文学类(俄语、西班牙语、法语、日语、朝鲜语)(双外语),外国语言文学,502
包装工程,纺织科学与工程,821
市场营销,工商管理,1202
市场营销（中外合作办学）,工商管理,1202
市场营销（双语类）,工商管理,1202
市场营销（市场营销、物流管理、电子商务）,工商管理,1202
市场营销（国家专项计划）,工商管理,1202
市场营销（单列类）,工商管理,1202
市场营销（普通类）,工商管理,1202
汉文学（汉）,中国语言文学,501
汉文学（藏）,中国语言文学,501
汉语言,中国语言文学,501
汉语言#H,中国语言文学,501
汉语言（民考汉文史）,中国语言文学,501
汉语言(民考汉南单文）,中国语言文学,501
汉语言(民考汉南单理）,中国语言文学,501
汉语言（民考汉理工）,中国语言文学,501
汉语言文学,中国语言文学,501
汉语言文学 ,中国语言文学,501
汉语言文学（公费师范）,中国语言文学,501
汉语言文学（文史哲基地）,中国语言文学,501
汉语言文学（文学/汉）,中国语言文学,501
汉语言文学（双语班）,中国语言文学,501
汉语言文学(双语班南单文）,中国语言文学,501
汉语言文学（汉）,中国语言文学,501
汉语言文学(汉),中国语言文学,501
汉语言文学（民）,中国语言文学,501
汉语言文学(民族班),中国语言文学,501
汉语言文学(师范),中国语言文学,501
汉语言文学（师范类）,中国语言文学,501
汉语言文学(师范类),中国语言文学,501
汉语言文学(戏剧影视文学),中国语言文学,501
汉语言文学（戏剧影视文学）,中国语言文学,501
汉语言文学（财经文秘方向）,中国语言文学,501
汉语言文学（免费师范）,中国语言文学,501
汉语言文学（单列）,中国语言文学,501
汉语言文学（法商文秘）,中国语言文学,501
汉语言文学(定向),中国语言文学,501
汉语言文学（定向）,中国语言文学,501
汉语言文学（高校专项）,中国语言文学,501
汉语言文学（预科）,中国语言文学,501
汉语言文学（基地班）,中国语言文学,501
汉语言文学（厦门大学马来西亚分校）,中国语言文学,501
汉语言文学(普通类),中国语言文学,501
汉语言文学(藏),中国语言文学,501
汉语言文科学,中国语言文学,501
汉语国际教育,教育学,401
汉语国际教育（双语类）,教育学,401
汉语国际教育（单列）,教育学,401
汉语国际教育（单列类）,教育学,401
汉语国际教育（普通类）,教育学,401
尼泊尔语,外国语言文学,502
民族学,民族学,304
民族学 ,民族学,304
边防管理,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
动画,艺术学,504
动物生产类,生物学,710
动物生产类（动物科学、动物医学）,生物学,710
动物医学,生物学,710
动物医学(中兽医学方向),生物学,710
动物医学（本硕博班）,生物学,710
动物医学（国家专项计划）,生物学,710
动物医学(宠物医学方向),生物学,710
动物医学（宠物医学方向）,生物学,710
动物医学（宠物医学方向，国家专项计划）,生物学,710
动物医学类,生物学,710
动物药学,生物学,710
动物药学（国家专项计划）,生物学,710
动物科学,生物学,710
动物科学(大数据方向),生物学,710
动物科学（本硕博班）,生物学,710
动物科学(拔尖人才创新实验班),生物学,710
动物科学（国家专项计划）,生物学,710
动物科学(食品科学方向),生物学,710
动物科学（食品科学方向）,生物学,710
动物科学（食品科学方向，国家专项计划）,生物学,710
动植物检疫,生物学,710
考古学,历史学,601
地下水科学与工程,测绘科学与技术,816
地下水科学与工程(中外合作办学),测绘科学与技术,816
地下水信息工程,测绘科学与技术,816
地质工程,地质资源与地质工程,818
地质工程 ,地质资源与地质工程,818
地质工程（双语类）,地质资源与地质工程,818
地质工程（汉）,地质资源与地质工程,818
地质工程（民）,地质资源与地质工程,818
地质工程（含卓越工程师）,地质资源与地质工程,818
地质工程（含卓越工程师）（提前批）,地质资源与地质工程,818
地质工程（含卓越班）,地质资源与地质工程,818
地质工程（单列）,地质资源与地质工程,818
地质工程（单列类）,地质资源与地质工程,818
地质工程（定向）,地质资源与地质工程,818
地质工程(定向),地质资源与地质工程,818
地质工程(提前批）,地质资源与地质工程,818
地质工程（普通类）,地质资源与地质工程,818
地质工程(藏),地质资源与地质工程,818
地质工程（藏）,地质资源与地质工程,818
地质学,地质学,709
地质学（地质地球物理复合）,地球物理学,708
地质学（旅游地学）,地质学,709
地质学（理科基地班）,地理学,705
地质学(基地班),地质学,709
地质学（基地班）,地质学,709
地质学类,地质学,709
地质学类 ,地质学,709
地质学类(地球科学菁英班),地质学,709
地质学类(含国家理科基地班),地理学,705
地质学类(菁英班),地质学,709
地质学类（提前批）,地质学,709
地质类,地质学,709
地球化学,地质学,709
地球物理学,地球物理学,708
地球物理学类,地球物理学,708
地球物理学类(地球物理与信息类),地球物理学,708
地球物理学类(菁英班),地球物理学,708
地球物理学类（提前批）,地球物理学,708
地球信息科学与技术,地质资源与地质工程,818
地理空间信息工程,测绘科学与技术,816
地理科学,地理学,705
地理科学（公费师范）,地理学,705
地理科学（公费师范生）,地理学,705
地理科学(师范),地理学,705
地理科学（师范）,地理学,705
地理科学（免费师范）,地理学,705
地理科学（预科）,地理学,705
地理科学类,地理学,705
地理科学类 ,地理学,705
地理科学类（地理科学、地理信息系统）,地理学,705
地理科学类（地理科学、地理信息科学）,地理学,705
地理科学类(自然地理与资源环境、人文地理与城乡规划、地理信息科学),理论经济学,201
地理科学类（基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,理论经济学,201
地理科学类(基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,理论经济学,201
地理信息科学,地理学,705
地理信息科学（双语类）,地理学,705
地理信息科学（普通类）,地理学,705
机械工程,机械工程,802
机械工程（中白联合培养）,机械工程,802
机械工程（双语类）,机械工程,802
机械工程（单列）,机械工程,802
机械工程（普通类）,机械工程,802
机械与海洋工程类,机械工程,802
机械电子工程,机械工程,802
机械设计及其自动化(专项理）,机械工程,802
机械设计制造及自动化,机械工程,802
机械设计制造及其自动化,机械工程,802
机械设计制造及其自动化（日语强化）,机械工程,802
机械设计制造及其自动化（中外合作办学）（大连理工大学美国加州大学欧文分校联合项目）,机械工程,802
机械设计制造及其自动化(中法校际交流),机械工程,802
机械设计制造及其自动化(汉),机械工程,802
机械设计制造及其自动化（汉）,机械工程,802
机械设计制造及其自动化（机械卓越计划实验班）,机械工程,802
机械设计制造及其自动化（创新实验班）,机械工程,802
机械设计制造及其自动化（卓越计划）,机械工程,802
机械设计制造及其自动化（国家贫困专项）,机械工程,802
机械设计制造及其自动化（单列四年）,机械工程,802
机械设计制造及其自动化（闽台合作）,机械工程,802
机械设计制造及其自动化(闽台合作),机械工程,802
机械设计制造及其自动化（闽台合作项目）,机械工程,802
机械设计制造及其自动化（普通类）,机械工程,802
机械设计制造及其自动化（藏）,机械工程,802
机械设计制造及其自动化【机械设计制造及其自动化、机械设计制造及其自动化（国际班）】,机械工程,802
机械学,机械工程,802
机械类,机械工程,802
机械类  （机电工程类）,机械工程,802
机械类#E,机械工程,802
机械类（工学Ⅰ）,机械工程,802
机械类(车辆),机械工程,802
机械类(中外合作办学),机械工程,802
机械类（中外合作办学）,机械工程,802
机械类（中外合作办学）（机械工程）,机械工程,802
机械类（双语类）,机械工程,802
机械类（汉）,机械工程,802
机械类(民族班),机械工程,802
机械类(机电),机械工程,802
机械类（机电工程类）,机械工程,802
机械类（机械工程）,机械工程,802
机械类(机械与海洋工程类),机械工程,802
机械类(机械设计与海洋工程类培养，含机械设计制造及其自动化、车辆,机械工程,802
机械类（机械设计制造及其自动化、车辆工程）,机械工程,802
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类,机械工程,802
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类培,机械工程,802
机械类（机械设计制造及其自动化、农业机械化及其自动化）,机械工程,802
机械类（机械类创新实验班）,机械工程,802
机械类(含机械设计制造及其自动化、车辆工程),机械工程,802
机械类（含机械设计制造及其自动化、农业机械化及其自动化专业）,机械工程,802
机械类(含机械设计制造及其自动化、材料成型及控制工程、过程装备与控制工程专业),机械工程,802
机械类(茅以升学院),机械工程,802
机械类（国家专项）,机械工程,802
机械类（国家专项计划）,机械工程,802
机械类（单列类）,机械工程,802
机械类（按机械与海洋工程类招生，含机械设计制造及其自动化、车辆工,机械工程,802
机械类（按机械与海洋工程类培养）,船舶与海洋工程,824
机械类(按机械与海洋工程类培养),船舶与海洋工程,824
机械类(按机械与海洋工程类培养)(机械设计制造及其自动化、车辆工程),机械工程,802
机械类(按机械与海洋工程类培养，含机械设计,船舶与海洋工程,824
机械类（按机械与海洋工程类培养，含机械设计制造及其自动化、车辆工,船舶与海洋工程,824
机械类（高校专项）,机械工程,802
机械类（高端装备与智能制造）,机械工程,802
机械类（高端装备与智能制造、机器人）,机械工程,802
机械类（智能装备）,机械工程,802
机械类（普通类）,机械工程,802
机械类（藏）,机械工程,802
机械类）,机械工程,802
机器人工程,机械工程,802
过程装备与控制工程,控制科学与工程,811
过程装备与控制工程（双语类）,控制科学与工程,811
过程装备与控制工程（含安全工程专业）,控制科学与工程,811
过程装备与控制工程（单列）,控制科学与工程,811
过程装备与控制工程(面向泉州),控制科学与工程,811
过程装备与控制工程（面向泉州）,控制科学与工程,811
过程装备与控制工程（普通类）,控制科学与工程,811
过程装备与控制工程【过程装备与控制工程、安全工程】,控制科学与工程,811
西班牙语,外国语言文学,502
西班牙语（企业管理）,外国语言文学,502
西班牙语（商务）,外国语言文学,502
轨道交通信号与控制,交通运输工程,823
光电技术与物理类,电气工程,808
光电信息科学与工程,电气工程,808
光电信息科学与工程（“王大珩”光电创新实验班）,电气工程,808
光电信息科学与工程（王大珩光电创新实验班）,电气工程,808
光电信息科学与工程（少）,电气工程,808
光电信息科学与工程(光电技术与物理类),电气工程,808
光电信息科学与工程（光电卓越计划实验班）,电气工程,808
光电信息科学与工程（光电信息技术方向）,电气工程,808
光电信息科学与工程(光电信息技术方向),电气工程,808
光电信息科学与工程（光电信息技术方向）（按光电技术与物理类招生）,电气工程,808
光电信息科学与工程（国家专项）,电气工程,808
光电信息科学与工程（定向）,电气工程,808
光电信息科学与工程（按光电技术与物理类培养）,电气工程,808
光电信息科学与工程(按光电技术与物理类培养),电气工程,808
光电信息科学与工程（按光电技术物理类培养）,电气工程,808
光电信息科学与工程(智能影像工程方向),电气工程,808
光电信息科学与工程（普通类）,电气工程,808
光电信息科学与工程【光电信息科学与工程、测控技术与仪器】,电气工程,808
网络工程,计算机科学与技术,812
网络工程(网络空间安全类),计算机科学与技术,812
网络工程（按网络空间安全类招生）,计算机科学与技术,812
网络工程(铁道信号方向),计算机科学与技术,812
网络与信息安全类,计算机科学与技术,812
网络与新媒体,计算机科学与技术,812
网络与新媒体(智能融媒体运营方向),计算机科学与技术,812
网络与新媒体（媒体创意方向）,计算机科学与技术,812
网络与新媒体(媒体创意方向),计算机科学与技术,812
网络与新媒体（新媒体网络经营方向）,计算机科学与技术,812
网络空间安全,计算机科学与技术,812
网络空间安全（双语类）,计算机科学与技术,812
网络空间安全（单列类）,计算机科学与技术,812
网络空间安全（按网络空间安全类培养）,计算机科学与技术,812
网络空间安全(按网络空间安全类培养),计算机科学与技术,812
网络空间安全（普通类）,计算机科学与技术,812
网络空间安全类,计算机科学与技术,812
传播学,新闻传播学,503
传播学（网络传播）,新闻传播学,503
传播学（网络编辑方向）,新闻传播学,503
传播学(网络编辑方向),新闻传播学,503
传播学（网络新媒体方向）,新闻传播学,503
传播学（媒体市场调查与分析方向）,新闻传播学,503
传播学(媒体市场调查与分析方向),新闻传播学,503
传播学（新媒体方向）,新闻传播学,503
传播学(新媒体方向),新闻传播学,503
传播学（新媒体传播方向）,新闻传播学,503
自动化,电气工程,808
自动化 ,电气工程,808
自动化（中外合作办学 中爱）,电气工程,808
自动化(中外合作办学),电气工程,808
自动化（中外合作办学）,电气工程,808
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，,电气工程,808
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，学,电气工程,808
自动化（双语类）,电气工程,808
自动化(汉),电气工程,808
自动化（汉）,电气工程,808
自动化（民）,电气工程,808
自动化（交叉创新实验班）,电气工程,808
自动化（含卓越工程师）,电气工程,808
自动化（卓越计划）,电气工程,808
自动化（卓越计划实验班）,电气工程,808
自动化（单列）,电气工程,808
自动化（单列类）,电气工程,808
自动化(定向),电气工程,808
自动化（定向）,电气工程,808
自动化(定向)#B9,电气工程,808
自动化（高校专项）,电气工程,808
自动化（理科交叉创新实验班）,电气工程,808
自动化（普通类）,电气工程,808
自动化(演艺工程与智能技术方向),电气工程,808
自动化（演艺工程与舞台技术方向）,电气工程,808
自动化（藏）,电气工程,808
自动化专业（中外合作办学）,电气工程,808
自动化类,电气工程,808
自动化类(中外合作办学),电气工程,808
自动化类(机器人与人工智能),电气工程,808
自动化类(自动化),电气工程,808
自动化类（国家专项）,电气工程,808
自然地理与资源环境,农业资源与环境,903
自然地理与资源环境（双语类）,农业资源与环境,903
自然地理与资源环境（单列类）,农业资源与环境,903
自然地理与资源环境（普通类）,农业资源与环境,903
自然保护与环境生态类,法学,301
自然保护与环境生态类（农学）,法学,301
自然保护与环境生态类（国家专项计划）,法学,301
自然保护与环境生态类（预科）,法学,301
行政管理,公共管理,1204
行政管理 ,公共管理,1204
行政管理(中美合作1+2+1),公共管理,1204
行政管理（文）,公共管理,1204
行政管理（双语类）,公共管理,1204
行政管理（单列）,公共管理,1204
行政管理（单列类）,公共管理,1204
行政管理（高校专项）,公共管理,1204
行政管理（理）,公共管理,1204
行政管理（智慧城市治理方向）,公共管理,1204
行政管理(智慧城市治理方向),公共管理,1204
行政管理（普通类）,公共管理,1204
行政管理科,公共管理,1204
会计学,工商管理,1202
会计学 ,工商管理,1202
会计学  (  双培计划  ),工商管理,1202
会计学  (  外培计划  ),工商管理,1202
会计学#H,工商管理,1202
会计学(ACCA),工商管理,1202
会计学（ACCA方向）,工商管理,1202
会计学（中外合作办学）,工商管理,1202
会计学(中外合作办学),工商管理,1202
会计学（双语实验班）,工商管理,1202
会计学（汉）,工商管理,1202
会计学（民）,工商管理,1202
会计学（会计学、财务管理、审计学）,工商管理,1202
会计学(会计学类),工商管理,1202
会计学(含会计学、财务管理),工商管理,1202
会计学（含会计学、财务管理）,工商管理,1202
会计学(含会计学、财务管理、审计学),工商管理,1202
会计学（含会计学、财务管理专业）,工商管理,1202
会计学（国防生）,工商管理,1202
会计学（国际会计师）,工商管理,1202
会计学(国际会计师),工商管理,1202
会计学（注册会计师）,工商管理,1202
会计学（注册会计师专门化方向）,工商管理,1202
会计学（注会实验班）,工商管理,1202
会计学（按会计学类培养）,工商管理,1202
会计学(按会计学类培养),工商管理,1202
会计学(按会计学类培养)(含会计学、财务管理、审计学),工商管理,1202
会计学(按会计学类培养，会计学、财务管理、审,"工商管理;农林经济管理;公共管理;图书馆,情报与档案管理",1202;1203;1204
会计学(按会计学类培养，含会计学、财务管理、,工商管理,1202
会计学（按会计学类培养，含会计学、财务管理、审计学）,工商管理,1202
会计学(按会计学类培养，含会计学、财务管理、审计学),工商管理,1202
会计学（茶学院）,工商管理,1202
会计学（闽台合作项目）,工商管理,1202
会计学（厦门大学与爱尔兰都柏林商学院合作举办）,工商管理,1202
会计学（厦门大学马来西亚分校）,工商管理,1202
会计学（智能会计）,工商管理,1202
会计学(藏),工商管理,1202
会计学（藏）,工商管理,1202
会计学类,工商管理,1202
会展经济与管理,公共管理,1204
会展经济与管理科,公共管理,1204
匈牙利语,外国语言文学,502
交通工程,交通运输工程,823
交通工程（双语类）,交通运输工程,823
交通工程（国际工程班）,交通运输工程,823
交通工程（单列）,交通运输工程,823
交通工程（单列类）,交通运输工程,823
交通工程（普通类）,交通运输工程,823
交通工程??????????? （国际工程班）,交通运输工程,823
交通设备与控制工程,交通运输工程,823
